fecha,hora,lat,lon,satelite,confianza,frp
2026-07-31,1815,3.23685,-76.45143,N20,n,10.1
2026-07-31,1815,3.23767,-76.47182,N20,n,4.59
2026-07-31,1815,3.23702,-76.45150,N20,n,10.11
2026-07-31,1815,3.23784,-76.47189,N20,n,4.59
2026-07-31,1902,3.52840,-76.44551,N21,n,10.86
2026-08-02,0616,3.14423,-76.56870,N,n,1.38
2026-08-02,0616,3.43469,-76.39314,N,n,0.9
2026-08-02,0616,3.43540,-76.39778,N,n,1.29
2026-08-02,0616,3.43925,-76.39245,N,n,1.43
2026-08-02,0635,3.14257,-76.57006,N20,n,1.18
2026-08-02,0635,3.14587,-76.56954,N20,n,0.88
2026-08-02,0635,3.18407,-76.42208,N20,n,0.2
2026-08-02,0635,3.43433,-76.39367,N20,n,0.97
2026-08-02,0635,3.43487,-76.39711,N20,n,0.97
2026-08-02,0635,3.43708,-76.38971,N20,n,0.9
2026-08-02,0635,3.43763,-76.39315,N20,n,1.24
2026-08-02,0635,3.43817,-76.39659,N20,n,1.24
2026-08-02,0635,3.44038,-76.38919,N20,n,0.9
