fecha,estacion,tmax_mod,precip_mod
2026-07-11,0026085160,26.65,3.92
2026-07-11,0026055120,26.65,6.37
2026-07-11,0026085170,26.42,7.1
2026-07-12,0026085160,23.87,10.54
2026-07-12,0026055120,24.07,19.67
2026-07-12,0026085170,23.77,15.57
2026-07-09,0026085160,25.12,14.32
2026-07-09,0026055120,25.74,21.37
2026-07-09,0026085170,26.47,21.95
2026-07-10,0026085160,27.88,5.33
2026-07-10,0026055120,27.53,8.78
2026-07-10,0026085170,27.29,9.0
2026-07-13,0026085160,27.02,8.82
2026-07-13,0026055120,26.88,16.84
2026-07-13,0026085170,26.78,11.84
2026-07-14,0026085160,28.49,3.97
2026-07-14,0026055120,28.28,6.63
2026-07-14,0026085170,27.94,4.91
2026-07-15,0026085160,29.86,0.34
2026-07-15,0026055120,29.6,0.94
2026-07-15,0026085170,29.23,0.45
2026-07-16,0026085160,29.43,1.93
2026-07-16,0026055120,29.51,2.62
2026-07-16,0026085170,29.77,1.57
2026-07-17,0026085160,28.7,0.26
2026-07-17,0026055120,28.71,2.37
2026-07-17,0026085170,28.89,0.61
2026-07-18,0026085160,26.56,6.48
2026-07-18,0026055120,26.63,7.84
2026-07-18,0026085170,26.57,8.61
2026-07-19,0026085160,25.08,5.56
2026-07-19,0026055120,25.12,7.78
2026-07-19,0026085170,26.11,4.63
2026-07-20,0026085160,26.24,16.74
2026-07-20,0026055120,26.33,18.93
2026-07-20,0026085170,26.78,24.8
2026-07-21,0026085160,28.18,1.54
2026-07-21,0026055120,27.96,3.11
2026-07-21,0026085170,27.52,2.31
2026-07-22,0026085160,28.1,12.2
2026-07-22,0026055120,28.29,18.7
2026-07-22,0026085170,28.12,19.25
2026-07-23,0026085160,24.55,37.96
2026-07-23,0026055120,24.24,57.85
2026-07-23,0026085170,24.17,60.32
