,0
et0,0.11388475606591497
precip_30d,0.10005089273887868
humedad_media,0.082620393331682
tmax,0.07644213254492847
radiacion,0.07571910155078705
dist_vias,0.07190754148591275
humedad_min,0.06385502628106683
dist_vias_prin,0.061739601382026166
elevacion,0.05528611854557207
tmean,0.051420868982938704
precip_7d,0.045756284043800534
dias_sin_lluvia,0.040042990531017245
viento_max,0.030060973330637106
precip_3d,0.02970309511399574
pendiente,0.028554442611744533
precip,0.02660056603324675
ctc,0.01732627969878726
ccc,0.010748845521853737
cdc,0.009884243645183272
SUSC,0.008395846560026178
